Id,Start,Name,Impact,Currency
38ea3bdf-4b48-414c-9d76-33d7c16c73c9,12/11/2025 02:30:00,Unemployment rate,LOW,SGD
2ff88af7-67d2-4fd6-99b9-c61626555f06,12/23/2025 05:00:00,Consumer Price Index (YoY),LOW,SGD
d00821eb-c242-428e-b851-9ab7c838e5a4,12/26/2025 05:00:00,Industrial Production (MoM),LOW,SGD
3be25e0c-15d1-4c8f-948f-91931c753ea3,12/26/2025 05:00:00,Industrial Production (YoY),LOW,SGD
276ff0c8-a44b-4a6d-8282-6b1e214c70cd,01/02/2026 13:00:00,Manufacturing PMI,LOW,SGD
a9741d61-b390-4210-a229-a38dac7a1af4,01/05/2026 05:00:00,Retail Sales (MoM),LOW,SGD
6351bbe3-6d73-4dd4-a655-974c382fb990,01/05/2026 05:00:00,Retail Sales (YoY),LOW,SGD
17a60b75-7a67-443f-bcac-fa50e84dee02,01/07/2026 09:00:00,Foreign Reserves (MoM),LOW,SGD
40af8444-254d-48cc-a782-4ceca549ec48,01/14/2026 00:00:00,Gross Domestic Product (QoQ),LOW,SGD
e47229a1-de17-4b67-925d-f597de13b1cb,01/14/2026 00:00:00,Gross Domestic Product (YoY),LOW,SGD
7e45bc77-1dbb-4288-9a99-b1513c3eb050,01/23/2026 05:00:00,Consumer Price Index (YoY),LOW,SGD
87e35f98-5439-4ec3-a1b5-092531eae9f4,01/26/2026 05:00:00,Industrial Production (MoM),LOW,SGD
af40713e-cc9e-42c0-a74f-2a4e1e6e38d3,01/26/2026 05:00:00,Industrial Production (YoY),LOW,SGD
dfc6f10f-d497-4f78-a3e3-0439de2bb956,01/29/2026 01:30:00,Unemployment rate,LOW,SGD
dccd2c63-16c9-40d2-8d5d-db7dcd5a7a4b,02/26/2026 00:00:00,Gross Domestic Product (QoQ),LOW,SGD
e1eeb499-38d4-46e1-ade1-8d5c46143a30,02/26/2026 00:00:00,Gross Domestic Product (YoY),LOW,SGD
